date,open,high,low,close,adjusted_close,volume,ticker,daily_return,cumulative_return,ma_20,ma_50,volatility_20d,annualized_volatility,trend_signal
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.33385467529297,135480400,AAPL,,,,,,,Bearish
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,71.6306381225586,146322800,AAPL,-0.00972203551987938,-0.00972203551987938,,,,,Bearish
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.20143127441406,118387200,AAPL,0.007968245219206693,-0.0018312578637249555,,,,,Bearish
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,71.86185455322266,108872000,AAPL,-0.0047030460371630944,-0.006525691410849022,,,,,Bearish
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.01782989501953,132079200,AAPL,0.016086288271489613,0.00945562270743494,,,,,Bearish
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,74.56880187988281,170108400,AAPL,0.021240813976545425,0.03089728180694129,,,,,Bearish
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,74.73737335205078,140644800,AAPL,0.0022607036734636488,0.03322783507888594,,,,,Bearish
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.33409118652344,121532000,AAPL,0.02136437073337283,0.055302097599551514,,,,,Bearish
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.30332946777344,161954400,AAPL,-0.013503277683875936,0.041052060335287965,,,,,Bearish
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,74.98059844970703,121923600,AAPL,-0.004285519922216707,0.036590610990656414,,,,,Bearish
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,75.91986083984375,108829200,AAPL,0.012526478905240834,0.049575441412601506,,,,,Bearish
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,76.7603530883789,137816400,AAPL,0.011070996257037002,0.06119528719595846,,,,,Bearish
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.24015808105469,110843200,AAPL,-0.006776907061324833,0.054003665360715436,,,,,Bearish
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,76.5123062133789,101832400,AAPL,0.003569526034268966,0.057765958884435475,,,,,Bearish
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,76.88079833984375,104472000,AAPL,0.004815859995308536,0.06286001165022626,,,,,Bearish
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,76.65922546386719,146537600,AAPL,-0.002881976618964499,0.05979687394741795,,,,,Bearish
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,74.40501403808594,161940000,AAPL,-0.029405250929448234,0.028633280934749372,,,,,Bearish
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,76.50989532470703,162234000,AAPL,0.02828933448469395,0.05773263188120059,,,,,Bearish
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.1114273071289,216229200,AAPL,0.020932336067801982,0.07987344680161845,,,,,Bearish
2020-01-30,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,77.99823760986328,126743200,AAPL,-0.0014491004070108504,0.07830860175033805,78.00912513732911,,,,Bearish
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,74.53987884521484,199588400,AAPL,-0.04433873334381144,0.030497764194991728,78.12362518310547,,0.017679103753889678,0.28064707161180324,Bearish
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,74.3351821899414,173788400,AAPL,-0.0027462960056099384,0.027667712301393088,78.26400032043458,,0.01751088898825087,0.27797674499142744,Bearish
